Format,OpenTRACK,,,,,,
Name,Portaria,,,,,,
Country,Greece,,,,,,
City,Volos,,,,,,
Type,Hillclimb,,,,,,
Config,Open,,,,,,
Direction,Forward,,,,,,
Mirror,On,,,,,,
Export Frequency,20,Hz,,,,,
,,,,,,,
Distance,Speed,Yaw Velocity,Lateral Acceleration,Elevation,Banking,Grip Factor,Sector
km,km/h,deg/s,G,m,deg,,
,,,,,,,
0.929,122.124001,-15.971178,-0.943913,422.570007,0,1,1
0.932,124.326004,-14.943978,-0.900817,423,0,1,1
0.936,125.706001,-13.687826,-0.836193,423,0,1,1
0.94,127.044998,-12.276517,-0.758254,423,0,1,1
0.943,128.315994,-10.719446,-0.669698,423,0,1,1
0.947,129.268005,-9.04916,-0.572367,423.709991,0,1,1
0.951,130.462006,-7.2817,-0.465985,424,0,1,1
0.954,131.80101,-5.434713,-0.350636,424,0,1,1
0.958,133.059998,-3.514846,-0.227524,424,0,1,1
0.962,134.462006,-1.522099,-0.098039,424,0,1,1
0.966,135.804993,0.484399,0.034033,424,0,1,1
0.97,137.056,2.393494,0.166265,424.880005,0,1,1
0.974,138.565002,4.135973,0.28777,425,0,1,1
0.978,139.639999,5.57914,0.389328,425,0,1,1
0.982,140.379013,6.573107,0.466234,425,0,1,1
0.986,141.199997,7.128417,0.517506,425,0,1,1
0.99,140.78801,7.626204,0.554286,426,0,1,1
0.994,140.352005,8.187244,0.591168,426,0,1,1
0.998,139.528,8.653172,0.618764,426,0,1,1
1.002,138.712006,9.050576,0.639566,426,0,1,1
1.006,137.761993,9.461501,0.660662,426.140015,0,1,1
1.01,136.028,9.929723,0.682216,427,0,1,1
1.014,134.459991,10.405736,0.704752,427,0,1,1
1.017,133.292999,11.001154,0.734661,427,0,1,1
1.021,132.314011,11.591071,0.767145,427,0,1,1
1.025,131.412994,12.1104,0.795391,427.290009,0,1,1
1.029,131.264008,12.534389,0.817481,428,0,1,1
1.032,131.470001,12.658607,0.829667,428,0,1,1
1.036,131.714005,12.559141,0.83177,428,0,1,1
1.04,132.139999,12.335458,0.826225,428,0,1,1
1.044,132.457001,12.042333,0.815939,428.429993,0,1,1
1.047,132.492004,11.767084,0.805002,429,0,1,1
1.051,132.453003,11.587175,0.796717,429,0,1,1
1.055,131.884003,11.528733,0.792804,429.519989,0,1,1
1.059,130.839996,11.604364,0.793945,430,0,1,1
1.063,129.546005,11.812462,0.798706,430.579987,0,1,1
1.066,127.963005,12.072126,0.803447,431,0,1,1
1.07,126.148003,12.27312,0.801675,431.640015,0,1,1
1.073,124.444,12.315748,0.787221,432,0,1,1
1.077,122.657997,12.070751,0.753895,432,0,1,1
1.08,120.804001,11.271132,0.687697,432.720001,0,1,1
1.084,118.949997,9.798401,0.585381,433,0,1,1
1.087,116.940002,7.734836,0.453901,433,0,1,1
1.09,114.637001,5.186778,0.299013,433.809998,0,1,1
1.094,112.100006,2.2349,0.128255,434,0,1,1
1.097,109.699005,-1.025918,-0.046709,434,0,1,1
1.1,106.790001,-4.289485,-0.213949,434,0,1,1
1.103,104.292,-7.431128,-0.367276,434.920013,0,1,1
1.106,102.105003,-10.463678,-0.507564,435,0,1,1
1.108,99.942001,-13.28309,-0.632989,435,0,1,1
1.111,98.593002,-15.812353,-0.742806,435,0,1,1
1.114,97.868004,-18.116562,-0.841521,435.040009,0,1,1
1.117,97.064995,-20.171417,-0.929204,436,0,1,1
1.12,96.610001,-21.872414,-1.002381,436,0,1,1
1.122,96.674004,-23.057749,-1.056419,436,0,1,1
1.125,96.484001,-23.52895,-1.080873,436,0,1,1
1.128,96.417999,-23.412066,-1.081447,436.179993,0,1,1
